Longitude,Latitude,Pixel,Scan
19.9780313,-5.92805838,3200,1000
19.9421695,-5.92821773,3300,1000
19.9063087,-5.92838798,3400,1000
19.8704486,-5.92856913,3500,1000
19.8345886,-5.92876118,3600,1000
19.7987285,-5.92896414,3700,1000
19.7628677,-5.92917801,3800,1000
19.7270059,-5.92940279,3900,1000
19.6915013,-5.92963607,3999,1000
21.1283612,-5.91339847,0,1100
21.0922515,-5.91320668,100,1100
21.0561561,-5.91302602,200,1100
21.0200743,-5.91285648,300,1100
20.9840059,-5.91269805,400,1100
20.9479504,-5.9125507,500,1100
20.9119074,-5.91241443,600,1100
20.8758764,-5.91228923,700,1100
20.8398571,-5.91217507,800,1100
20.8038491,-5.91207195,900,1100
20.7678519,-5.91197986,1000,1100
20.731865,-5.91189879,1100,1100
20.6958882,-5.91182873,1200,1100
20.6599209,-5.91176966,1300,1100
20.6239629,-5.91172158,1400,1100
20.5880135,-5.91168448,1500,1100
20.5520725,-5.91165835,1600,1100
20.5161395,-5.91164318,1700,1100
20.4802139,-5.91163897,1800,1100
20.4442955,-5.91164571,1900,1100
20.4083838,-5.91166339,2000,1100
20.3724783,-5.91169201,2100,1100
20.3365788,-5.91173156,2200,1100
20.3006847,-5.91178204,2300,1100
20.2647957,-5.91184344,2400,1100
20.2289113,-5.91191576,2500,1100
20.1930313,-5.911999,2600,1100
20.157155,-5.91209315,2700,1100
20.1212822,-5.91219821,2800,1100
20.0854124,-5.91231418,2900,1100
20.0495453,-5.91244105,3000,1100
20.0136804,-5.91257884,3100,1100
19.9778173,-5.91272753,3200,1100
19.9419556,-5.91288713,3300,1100
19.9060949,-5.91305763,3400,1100
19.8702348,-5.91323904,3500,1100
19.8343749,-5.91343137,3600,1100
19.7985148,-5.91363461,3700,1100
19.7626541,-5.91384876,3800,1100
19.7267924,-5.91407383,3900,1100
19.6912878,-5.91430741,3999,1100
21.128143,-5.89806116,0,1200
21.0920335,-5.89786943,100,1200
21.0559382,-5.89768884,200,1200
21.0198567,-5.89751938,300,1200
20.9837884,-5.89736102,400,1200
20.9477331,-5.89721376,500,1200
20.9116903,-5.89707759,600,1200
20.8756595,-5.89695248,700,1200
20.8396404,-5.89683843,800,1200
20.8036325,-5.89673543,900,1200
20.7676355,-5.89664346,1000,1200
20.7316488,-5.89656251,1100,1200
20.6956721,-5.89649258,1200,1200
20.659705,-5.89643365,1300,1200
20.6237471,-5.89638572,1400,1200
20.5877979,-5.89634877,1500,1200
20.5518571,-5.8963228,1600,1200
20.5159242,-5.8963078,1700,1200
20.4799988,-5.89630376,1800,1200
20.4440805,-5.89631068,1900,1200
20.4081689,-5.89632855,2000,1200
20.3722635,-5.89635736,2100,1200
20.3363641,-5.89639711,2200,1200
20.3004702,-5.89644779,2300,1200
20.2645813,-5.8965094,2400,1200
20.228697,-5.89658194,2500,1200
20.192817,-5.8966654,2600,1200
20.1569409,-5.89675978,2700,1200
20.1210682,-5.89686508,2800,1200
20.0851985,-5.89698129,2900,1200
20.0493315,-5.89710842,3000,1200
20.0134666,-5.89724646,3100,1200
19.9776036,-5.89739541,3200,1200
19.941742,-5.89755528,3300,1200
