Longitude,Latitude,Pixel,Scan
19.6579558,0.229688649,3999,1700
21.0359132,0.264580996,0,1800
21.0013088,0.263894234,100,1800
20.9667163,0.263217979,200,1800
20.9321353,0.262552211,300,1800
20.8975654,0.261896914,400,1800
20.8630062,0.261252071,500,1800
20.8284574,0.260617666,600,1800
20.7939186,0.259993683,700,1800
20.7593894,0.259380107,800,1800
20.7248696,0.258776924,900,1800
20.6903586,0.258184118,1000,1800
20.6558561,0.257601675,1100,1800
20.6213618,0.257029583,1200,1800
20.5868754,0.256467828,1300,1800
20.5523964,0.255916397,1400,1800
20.5179244,0.255375279,1500,1800
20.4834592,0.254844461,1600,1800
20.4490004,0.254323933,1700,1800
20.4145475,0.253813683,1800,1800
20.3801003,0.2533137,1900,1800
20.3456583,0.252823976,2000,1800
20.3112213,0.252344499,2100,1800
20.2767888,0.251875262,2200,1800
20.2423606,0.251416255,2300,1800
20.2079361,0.25096747,2400,1800
20.1735152,0.2505289,2500,1800
20.1390973,0.250100536,2600,1800
20.1046823,0.249682371,2700,1800
20.0702696,0.2492744,2800,1800
20.0358589,0.248876616,2900,1800
20.00145,0.248489012,3000,1800
19.9670424,0.248111585,3100,1800
19.9326357,0.247744328,3200,1800
19.8982297,0.247387238,3300,1800
19.8638239,0.24704031,3400,1800
19.8294179,0.246703541,3500,1800
19.7950116,0.246376928,3600,1800
19.7606044,0.246060467,3700,1800
19.726196,0.245754156,3800,1800
19.6917861,0.245457994,3900,1800
19.6577184,0.245174788,3999,1800
21.0357107,0.280052663,0,1900
21.0011056,0.279366175,100,1900
20.9665122,0.278690187,200,1900
20.9319304,0.278024681,300,1900
20.8973596,0.277369641,400,1900
20.8627996,0.276725049,500,1900
20.82825,0.276090891,600,1900
20.7937103,0.275467149,700,1900
20.7591803,0.274853809,800,1900
